,Review,Grade
10,"Bugs y mas bugs... No estan todos los Pokémon, fallos graficos, reutilizan modelos de 3DS... es ridículo y carisimo. NO HAY POSTGAME",0
11,"A disaster, pokemon just died!
Even let's go, which was a medium game, had undeniable qualities (nothing but the catching interaction was excellent, it's something that should have stayed on this game).
The 800 Pokémon are not available supposedly because to redo the sprites for the switch is too long while we have the proof that they have reused the sprites of pokémon Ultra Sun and Ultra Moon.
Non-existent combat animations, knowing that stadium versions on N64 had animations
Gigamax combat which is a useless feature, ugly graphics with violent aliasing and catastrophic FPS drops!
Knowing that the console manages to turn The Witcher 3 correctly
Besides, the open world is empty and uninteresting!
Sell 50 balls a **** alike !
A nice scam for a game that is a half porting 3DS games Collapse",0
12,"""A delayed game is eventually good, but a rushed game is forever bad.""
-Shigeru Miyamoto
Six more months to a year perhaps, or focusing on these games rather than the ""Town"" Project would have made this game into something worth 60$. Not these games though.
Instead, you get this pitifully underwhelming mess of a Pokemon ""console"" experience. Play Coliseum or XD Gale of Darkness instead. Sword and Shield are a mistake and it pains me as a fan who started in Gen 4, went back and played every game before and after to see how they disrespected the franchise they spent years cultivating. Collapse",0
13,"Its the higher note i can give for an incomplete game. Feels like a joke, what happened with the catch em all. The rest isnt enough to balance the negative feeling.But maybe mediocre is the new normal.",4
14,"But used, fun 5hour game but some how more lazy than past titles. Not clear That not all of the pokemon are in the game but not even a hint a moves being deleted.

If they didn't allow you to transfer any pokemon over I would be more than happy but having just a select few seems wrong. After the 'story' there's No post game unlike in the ds games. All in all the character designs are good the style looks nice in some areas but it does not make up for the ugly new pokemon that where made to replace old ones and the lack of things to do in the game. Collapse",4
15,"This review contains spoilers. The good about this game is the same that can be said about other Pokemon games. Exploring is fun, battling is fun, and training is fun. But the wild area was suppose to be a trade off for little routes, but the wild area is fairly small. Pokemon in the over-world don't interact with the over-world save for chasing after the trainer. The weather changes in the wild area are way too sudden. And have the bike become the hm replacer is bad, should've sticked to how SM and LGPE did it. The routes are fairly short and route 7 especially takes less than a minute to cross including trainers. The story is very bland. I don't expect much from Pokemon but after SM I at least wanted to interact with more personal stories characters had. There is no evil team in the game. Team Yell are just Marine fans who like to get in your way. Then turns out they are actually the gym trainers for the 7th gym, Piere's gym. Marine's older brother. It seemed Marine was gonna have a small story arc when we got to the seventh gym, but it was shafted after we beat Piere. The League got rid of the Elite Four and replaced it with a tournament. Not bad , it's execution in this game sucks because it's against Gym Leaders and characters you didn't really bond with. The twist in the game was Chairman Rose wanted to awaken a pokemon with infinite energy for dynamaxing. Dynamax energy runs out in 1000 years btw. He decides to awaken it during the tournament, we literally would've helped after the tournament. But he was too impatient to wait 1 day for a problem that wouldn't happen for 1000 years. The battle against Eternatus sucks, you don't fight whatsoever. The two box legionaries are the only one's that can damage him, and you don't even control them. You're just in the battle was picking whatever move, because it doesn't matter. YOU can't hurt him. After the battles the legionaries jump into the sunset, you don't get to catch one until post game. The game has so much potential, but it just fell flat for me. Also gamefreak, this is scummy releasing the same game so metacritic score is different Collapse",4
16,"Even as a fan, this game has a lot of problems.
- It's not possible to turn off the multi-exp
- the game can be beautiful but sometimes it's just ugly
- there is a bug that currently wipes out all your switch's data if you're using the digital version
- 435 pokemons out of all pokemons
- The game ends too fast
- Too many moves were removed
- No megas
- A nearly empty post-game
- Some cutscenes are hilarious since they're so bad
- Many models and animations are reused
So many problems and I'm not even saying everything.
Just don't buy this game, seriously.
Wait for the third version if there is one. Collapse",2
17,"Removed Pokemon, removed features, Dreamcast-quality graphics, laughable post game and inconsistent animation. Is this the best they could do on an HD console from 2017? It's barely more impressive than Sun/Moon.",2
18,"I have also done a review for Pokemon Sword, but as both versions are more or less the same game, I've copied it here.

This game... is not great. It's not even good. You can't imagine how much that bothers me as a 12 year Pokemon fan to say this, but I have to be honest, I regret buying these games.

There is a myriad of issues with this game that give it a feeling of being rushed. Firstly the game suffers from many graphical issues. Pokemon, trainers and objects will just pop into and out of the overworld for seemingly no reason, many battle arenas lack backgrounds and trainers will disappear and reappear from them, completely breaking my immersion. Another issue is the game is extremely short. I am already at the 5th gym and I bought it yesterday, I hope that somehow the last 3 gyms take triple the time of the first 5, but from what my friend tells me, this isn't the case. Also my friend tells me that the post game is just the battle tree from sun and moon but with no bosses. The story is extrememly basic too, it is just a carbon copy of the story from one of the other games in the series (of which I'm not going to mention as I don't want to spoil anything). If you thought they were taking a step in the right derection with Sun and Moon's story, then Sword and Shield takes two steps back. As you might expect, the game is really easy, but I don't mean as easy as some of the other games in the series, Sword and Shield is probably the easiest Pokemon game to date. Easy games aren't in themselves a bad thing, but in a strategy game like Sword and Shield, you need at least a basic level of difficulty to make it interesting. Alas, due to the forced (always active) exp share on your whole team, my entire team was so overleveled for each gym. I would just end up dyanamaxing and sweeping the entire trainer's team for each of them with no problem. I really wish you could just turn the exp share off, the game would benefit so much from this. Speaking of the gyms, the challenges for each gym are completely ridiculous. Most of them are boring and had very little effect on the gym battle itself, for example there is one where the gym leader asks you bizzare questions like what you had for breakfast, not impressed with the gyms at all. The game in general is riddled with bizzare decisions like extra volume controls being locked behind an item for some reason and not being able to pet your Pokemon anymore. I would not reccomend picking this game up.

Now lets address the donphan in the room, the dex cut. Around 60% of the Pokemon were removed from this game along with a handful of moves for the reason of ""improving the animations an models"". The dex cut wouldn't be much of an issue for your average player, but the animations and models weren't improved at all. The models are just ported from Sun and Moon, scaled up for the Switch and there are less new animations in this game than Sun and Moon due to the lack of Z-Moves. So in short the dex was cut down for absolutely no reason. The smaller dex also limits people's options in online matches and competative, but I haven't played online yet and don't know anything about it so it wouldn't be fair for me to judge it.

Now that I've finally gotten through the bad things I should list the good. Some of the designs of the new Pokemon are amazing. In typical James Turner (the man who designed many of the Pokemon in this game) style, they're very hit or miss. But the ones that hit, hit hard. The final evolutions of the starters in particular ooze personality, I love them all. The wild area is a great concept, though it's fairly poorly executed it is still fun to explore. The addition of overworld encounters from the Lets Go games is a great idea and makes the world feel way more alive. Sadly though, the good is outweighed by the bad in this game.

In conclusion, I would not reccomend these games. They are definately the worst in the series and do not justify the Switch price tag. Avoid these at all costs, there are many, far better games on the switch this year, get one of those instead. Collapse",2
19,"To be honest this game is disappointing, don’t get me wrong the game likes nice and all visually but this game just ain’t it. They used the exact same game models from the 3DS and they cut 455 Pokémon from the game for better animation and graphics even though it looks the exactly the same as it did for the past 7 years. I never thought GameFreak could get any lazier and incompetent than this. Generations 1-5 had more soul put into them than these games. Now the digital copies of these are being reported to not only corrupt your SD card and delete your Save data but it kills the console too. They should have spent an extra year or two working on these games. “A delayed game is eventually good, but a rushed game is forever bad” Collapse",4
20,"I've no idea what the ""professional"" reviews were on when they were playing this game.
Are they reviewing the same game?
This game is a half assed attempt at bringing the Pokemon franchise forward to the next generation.
Don't waste your time with this trash and vote with your wallet.",0
21,"5 horas con el juego y ya estoy por encima del nivel de todos los entrenadores del juego. La introducción tarda más de media hora por si sola y no haces más que caminar del punto a al punto b, mínimo tuviera musgo bonito para mirar como en Death Stranding pero no. Los gráficos parecen tomados del proyecto de Unity de algún fan con demasiado tiempo libre y no de una de una compañía multimillonaria con la franquicia de mayor renombre en el mundo de los videojuegos. Una vez que termina la introducción los personajes no dejan de interrumpir tu camino para llevarte de la mano y hablarte de lo genial que es ser un niño y atrapar Pokémon. Hop es Hau 1.0001 y no han tenido pena siquiera de reutilizar sus animaciones de la forma más descarada. Porcierto que los personajes se muevan por casillas y tengan que girarse para caminar a la Resident Evil 1 en pleno 2019 en una consola tan poderosa como la PS3 es para echarse a reír y llorar al mismo tiempo

Las rutas son cortas, los escenarios poco inspirados, las ciudades son pasillos adornados con uno o dos personajes y todas las casas iguales, el área salvaje es una zona safari glorificada y vacía. El curry solo son pokepoffins con otro nombre (de todas las cosas que la gente pedía de vuelta han traído la única que a nadie le importa). Se nota el nulo interés hacia su trabajo y su deseo por querer ganar dinero estafando niños. Me da pena por los Pokémon que debutan en esta región pues no se merecen quedar atrapados en este juego paupérrimo (porque seguramente más de la mitad no vuelve para la próxima entrega). Tengo más diversión jugando Pokémon Go en mi casa girando el disco de la pokeparada que hay encima mío cada 5 minutos que lo que ganó jugando esta kusoge de juego. Planeaba regalarle el juego a mi sobrino está navidad para iniciarlo en el juego pero mejor será que le dé cualquier otra cosa. Nadie merece que este sea su introducción a la saga. La historia por cierto es peor que la de Sun/Moon y X/Y combinados. No entiendo por qué han sacado la GTS Collapse",3
22,"The bad:
The main story is short, and the postgame is lacking, around 25 hours if you take your time.
The music is hit or miss most of the time.
The wild area (the biggest new feature) feels incomplete and has bad textures and models for the environment. Its also not very big.
The game has pop-in issues both in the wild area and in cities/routes, and has a horrible draw distance.
The game is missing staple moves like pursuit, return and hidden power.
Some animations in cutscenes and battles are either incredibly lacking, or amazing in some cases.
Half of the pokemon are not coded into the game, and will be impossible to transfer (unless GameFreak changes their stance and updates).
Mega evolution and Z-moves were removed and replaced by dynamax.
Subjective, but some of the new pokemon are really off-putting.
The game, as of release, has a fatal bug that can wipe your SD card.
No following pokemon.

The good:
It's still pokemon, and still has the same great formula.
The games look great, especially in cities.
The trainer customization is the best ever.
Some of the new pokemon and character designs are amazing.
Competitive teambuilding is easier than ever before.

Overall: The game could have used more time before release and had great potential. If all pokemon, moves and megas were coded in and the whole game was polished more (especially the wild area) the game could have been the best pokemon games so far. It's sad to see GameFreak pushing yearly releases for the games instead of giving them the development time needed to become truly great. Collapse",2
23,"Es un juego incompleto le faltan mas de la mitad de los pokemon existentes, tiene unos graficos muy malos para una Nintendo Switch
El area Silvestre esta vacia y los pokemons se ven muy mal. Las ciudades estan muy vacias
. El juego es muy corto(el mas corto de la saga) y los personajes son muy olbidables no hay nada que explorar y el juego no se siente un juego de pokemon.",4
24,"Yet another rushed, disappointing mess for longtime fans of the series. Considering the emphasis that was placed on the graphics and animation quality before the S/S' release, you'd expect them to at least run at a consistent framerate or not blatantly copy/paste animations from prior games; but neither of these came to fruition. Not worth losing half of the games' cast for.

Objectively, as long as the gameplay's good, graphical quality is a non-issue. Unfortunately, as with the 3DS era, Sword and Shield are dumbed down for the mobile phone generation. You're never made to go more than a few battles without healing, and if you can stomach that you can look forward to endless handholding and WOW CHARIZARD REMEMBER THIS KANTO POKEMON?

If you have any semblance of critical thinking skills, don't buy these games. Collapse",1
25,"I was going to give this game a solid 5, it's not a bad game but neither it's a great game, this is just fine, but the more I think about it the more disappointed I get.
This is a 60€ game it as to be compared with its Switch peers of the same price and not like it's a random indie game, this game rightly deserves the tough love that it's getting, just because it's Pokémon doesn't make it automatic free from criticism.
The technical issues in this game are just unacceptable for 2019, pop-ins everywhere in a very small 10m radius makes the world feel empty and bland. Animations look so stiff and outdated, why does the world freezes around me while I fish or climb ladders? Why are some background battles just white voids when even the Let’sGo games had that right? The textures quality is all over the place too, the worst ones are in par with Nintendo64 and the best ones are 3DS quality, but please don’t forget that this is a Switch game.
The camping is quite cute actually but shallow, pokéjobs are ok but forgetful just like the whole dynamax thing is just a gimmick, the wild area looks like the main selling point this time but it’s just meh, a nice idea but really poorly executed and with almost no exploration after the first full run, the world is pretty much a straight line, there is no kind of exploration, do you remember places like Mt. Mortar, Seafoam Islands or Whirl Islands? There is nothing like that here, the most dungeon-like exploration you will get is something like Viridian Forest and it never gets more difficult than that.
The game difficult is non- existent like the post-game, also why is the exp.share mandatory? Give us more options, don’t take them away...
I don't even care about the lack of National Dex drama, but I do understand why people are upset about it, also the National Dex was cut with the excuse on delivering better animations and a more carefully crafted game but the overall game polish is worse than ever, plus lots of other cut content, the quality of the game is 100% more important than not having all the Pokemon for sure. I would rather have a high quality game with 100 Pokemon than a stinker with 1000 Pokemon. When will we get battle animations like Pokémon Battle Revolution? Aren’t battles the main selling point anyway? We shouldn't be here comparing animations from OG Pokémon Stadium (1998) with Sword/Shield, yet here we are, how is this acceptable!? This is Pokémon they have deep pockets they can make it, hire or outsource more people if you need.
I am not going to talk about the new pokémon designs since that is a subjective opinion, but I quite like Dragapult.
For me pokémon peaked with HG/SS and the highest point of its ambition was BW/BW2, Pokémon Sword/Shield feels and looks like a rushed game, it needed that extra year and more ambition to become something special... Collapse",3
26,"What an absolute dumpster fire.
It is devoid of effort, as can be seen in the visual department. Textures are painful to look at and the models are horrendously basic as they look like they're mass produced without attention to detail and are constantly clipping with the environment. Speaking of environment, the places you can traverse are just depressing. The wild area advertised as a step in a new direction is a complete joke. It's certainly smaller than Oot's Hyrule field, yet just as empty and uninteresting. Cities and Dungeons on the other hand are just poorly designed hallways that lead you to the next area.
Gameplay is not well thought out. The new gimmick is underwhelming at the very least. They build it up high and it ends with an anticlimactic ohko, since this game still possesses baby-proof difficulty despite the playerbase being mostly adults and the advertising claiming it's for long time fans. Contrary to being an open world, this game is still a linear experience with NPC's still interrupting you with cutscenes.
The amount of content in this game isn't bare-bones, no rather it is insufficient and has regressed compared to previous entries in the franchise. Surely you've heard by now about cut pokemon, cut moves and other trashed content. What makes this worse is the fact that the game reuses assets from previous games.
This trash heap is the result of complacency, and a lack of effort and dedication. If it had been developed with care and the consumer's satisfaction in mind, it would have been a polished title with a lot of content complementing the new features. Sadly, this is not the case. Collapse",0
27,"As a lifelong fan of Pokemon games, I was ecstatic when a new mainline Pokemon game was announced for the Switch, a home console! Pokemon Gen 7 was alright, but a little too slow and easy for my tastes. But for Gen 8 all I was expecting was a nice polished HD Pokemon game, I didn't need an open world or anything as it is Gamefreak's first home console Pokemon title, after all. But no, that isn't what we got. We got an unfinished game, with over half of the national Pokedex not in the game, choppy, reused animations, reused models when they said they were brand new, even easier difficulty, a significantly shorter campaign as well as next to no post-game, not to mention many other features removed. All I have to say is, why? Pokemon is the highest most profitable franchise of all time, and Nintendo has been hitting it out of the park lately with great game after great game, like Zelda, Mario etc. So why can't Gamefreak improve Pokemon too? It's only gotten worse with time. I hope Nintendo can step in next time and help/replace Gamefreak, as the way these games are, I have no hope for the future of the franchise Collapse",0
28,"The theme of Pokémon Sword and Shield is: limit.
They limit your selection of Pokémon to catch
They limit the pool of moves Pokémon can learn from, including some moves signature to Pokémon, like Heal Order to Vespiquen
They limit where and when you can catch Pokémon in the open area
They limit when you can use Dynamax and Gigantamax, the games signature battle mechanic.
They limit your ability to explore a world with the series's now signature heavily railroaded storytelling techniques They limit the difficulty setting of the game by forcing Exp Share to always be on
They limit your ability to change the sound settings by forcing you to first find and interact with the right NPC.
Pokémon Sword and Shield are mediocre entries that take two steps back for every one step they take forward. Collapse",3
29,"Incomplete game, Bad animations and quite buggy for a mainline switch game. can not recommend.",0
30,"As JUST a Pokémon game, the rating would be higher, maybe a 5 or 6. But as a video game compared to others of a similar genre this is a hard 3. On top of the drastic content cuts made from previous (already declining) mainline Pokémon games, this game in particular has severe graphical, hardware, and gameplay issues that are just irredeemable for a triple A franchise. The new mechanic is not creative at all and dumbs down the combat instead of following the tradition of adding an extra element. The new designs are lazy and uninspired. I was sincerely expecting more from this franchise. Can not recommend. Collapse",3
31,"Expectations are everything in life. Video games are certainly no exception. Our opinions, reviews or “scores” for a given video game are a direct result of our expectations. A change in expectations - either deliberately or unconsciously; sudden, or as a result of multiple experiences - can result in radically contrasting impressions of the same underlying video game. With that in mind, it begs the question: what are reasonable expectations to have for a game like Pokémon Sword and Shield? What should we use as the baseline for forming these expectations?

The level of quality, polish, depth and amount of content in previous main entries in the series?
The relative quality of alternative $60, 1st party Nintendo Switch titles?
The hardware capabilities of the Nintendo Switch relative to previous handhelds on which Pokémon has appeared?
The certain level of production value one might anticipate in a watershed moment for the highest grossing media franchise of all time?

These are all perfectly fair and reasonable baselines from which to form one’s expectations of Pokémon Sword and Shield. Nostalgia, goodwill and sentimentality for this particular series have seemingly always resulted in an expectation discount of sorts, but for many the 50% price increase for this installment, outright lies from GameFreak and the non-stop, in-your-face Kanto exposure in recent years have all but eliminated said discount. The unfortunate reality is, that even with a discount of sorts on expectations, Pokemon Sword and Shield still fall woefully short of expectations by any reasonable baseline.

Content removal has reached a fever pitch, and what remains lacks effort, ambition, or even a semblance of challenge. Since its transition to 3D, Pokemon has gone from mildly challenging to downright patronizing. In an era where Mario, Zelda, Fire Emblem and Super Smash Bros. have displayed radical ambition in their main Nintendo Switch entries, pushing their respective series’ to new heights…Pokemon Sword and Shield are aggressively mediocre. With the transition to console – from 4GB cartridges to 32 GB cartridges – from 240p to 1080p – that we even had such confusion and debate regarding the re-use of models, animations and textures is a tragedy. While a novel could be written on the business inner-workings of GameFreak and The Pokemon Company, having standards for their products - especially given their capacity to produce good ones when they try - does in no way make one entitled.

So it bears repeating: Pokemon Sword and Shield fall woefully short of expectations by any reasonable baseline.

Much to its detriment, Pokémon Sword and Shield offer substantially fewer features, shallower depth, and reduced challenge relative to earlier, cheaper Pokémon games on weaker hardware. That is the brutal reality of these games. If one is completely new to the Pokémon series and does not possess any level of – and here is that word again – expectation for these games, this might not matter quite as much, but will still worsen the overall experience if they have had even a taste of the Nintendo Switch’s JRPG contemporaries (XenoBlade, Dragon Quest 11S and Atelier, among others). For series veterans, especially those who have experienced the relatively ambitious, content-loaded, reasonably-challenging, generation 3-5 games, it will be hard for Pokemon Sword and Shield to block criticism of its cut content.

Again, by any reasonable baseline of expectations – which I list at the beginning of this review – Pokemon Sword and Shield fall woefully short. It’s painful to say and type that, along with everything else I have. What is even more painful however, is the reality that these games will likely be an enormous commercial success based on name recognition and have already received critical acclaim from the corporate critics and “content creators”, both of which are subject to an insidious conflict of interest when assessing the quality of these games. Said success will only incentivize low-effort, unambitious annual releases.

You will see many negative reviews here, none nearly as lengthy as my diatribe. However, recognize that these negative reviews, like mine, come from a place of love and passion for the Pokemon series, and a sense of heartbreak and betrayal over seeing what it has become. To us, we love Pokemon, and in order for it to improve, there needs to be a place for criticism. This is it.

Anyways, do not buy Pokemon Sword or Shield. For the good of your money, your time, and the future of this franchise, do not buy Pokemon Sword or Shield. Collapse",0
32,"The absolute lowest point in the entire franchise, there is almost no new relevant additions to the game while they removed dozens of features that made the past games fantastic, the graphics are so mediocre you can compare it to a Gamecube game and the gameplay doesn't make up for it, neither the story or postgame, it's embarrasing how Gane Freak managed to make a game so mediocre it gets outshined by most of the past entries in the series. Collapse",1
33,Everything has been said already. just a huge disappointment to bad people condone this sort of behavior and tell people that what a great game ( which is completely possible) that they are haters...,2
